Sample	Study	Site	Country	Lat	Long	Year	ENA	All samples same individual	Population	% callable	QC pass	Exclusion reason	Is returning traveller
PA0059-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023475	PA0059-C	WAF	49.74	False	Less_than_50pc_callable	False
PA0060-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018958	PA0060-C	WAF	88.17	True	Analysis_set	False
PA0061-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018960	PA0061-C	WAF	88.57	True	Analysis_set	False
PA0063-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018961	PA0063-C	WAF	58.05	True	Analysis_set	False
PA0064-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023467	PA0064-C	WAF	59.72	True	Analysis_set	False
PA0065-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018952	PA0065-C	WAF	89.32	True	Analysis_set	False
PA0066-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023164	PA0066-C	WAF	89.04	True	Analysis_set	False
PA0067-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018978	PA0067-C	WAF	89.2	True	Analysis_set	False
PA0068-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019543	PA0068-C	WAF	89.29	True	Analysis_set	False
PA0069-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019544	PA0069-C	WAF	89.65	True	Analysis_set	False
PA0071-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018951	PA0071-C	WAF	85.96	True	Analysis_set	False
PA0072-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR211518	PA0072-C	WAF	79.45	True	Analysis_set	False
PA0073-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019850	PA0073-C	WAF	87.9	True	Analysis_set	False
PA0074-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018927	PA0074-C	WAF	89.35	True	Analysis_set	False
PA0075-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019849	PA0075-C	WAF	88.95	True	Analysis_set	False
PA0078-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018976	PA0078-C	WAF	87.73	True	Analysis_set	False
PA0079-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023474	PA0079-C	WAF	48.81	False	Less_than_50pc_callable	False
PA0080-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR211521	PA0080-C	WAF	34.53	False	Less_than_50pc_callable	False
PA0081-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR022862	PA0081-C	WAF	88.95	True	Analysis_set	False
PA0084-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR020107	PA0084-C	WAF	89.82	True	Analysis_set	False
PA0085-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018962	PA0085-C	WAF	86.14	True	Analysis_set	False
PA0086-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023473	PA0086-C	WAF	0.6	False	Less_than_50pc_callable	False
PA0087-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023466	PA0087-C	WAF	81.18	True	Analysis_set	False
PA0089-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023476	PA0089-C	WAF	62.86	True	Analysis_set	False
PA0090-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023469	PA0090-C	WAF	34.21	False	Less_than_50pc_callable	False
PA0091-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019546	PA0091-C	WAF	89.26	True	Analysis_set	False
PA0092-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018926	PA0092-C	WAF	87.43	True	Analysis_set	False
PA0093-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018950	PA0093-C	WAF	88.71	True	Analysis_set	False
PA0094-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR023471	PA0094-C	WAF	76.04	True	Analysis_set	False
PA0095-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR199980	PA0095-C	WAF	75.91	True	Analysis_set	False
PA0097-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019547	PA0097-C	WAF	89.27	True	Analysis_set	False
PA0098-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018977	PA0098-C	WAF	89.59	True	Analysis_set	False
PA0099-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018953	PA0099-C	WAF	89.01	True	Analysis_set	False
PA0100-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018979	PA0100-C	WAF	88.52	True	Analysis_set	False
PA0101-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR019548	PA0101-C	WAF	89.14	True	Analysis_set	False
PA0102-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR018963	PA0102-C	WAF	88.27	True	Analysis_set	False
PA0103-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR022519	PA0103-C	WAF	86.32	True	Analysis_set	False
PA0104-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR022521,ERR021979	PA0104-C	WAF	89.94	True	Analysis_set	False
PA0105-C	1006-PF-GM-CONWAY	Brikama	Gambia	13.27479	-16.64092	2008	ERR022520	PA0105-C	WAF	80.27	True	Analysis_set	False
PA0134-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063600	PA0134-C	WAF	90.47	True	Analysis_set	False
PA0136-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR211448	PA0136-C	WAF	90.18	True	Analysis_set	False
PA0137-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055487	PA0137-C	WAF	89.72	True	Analysis_set	False
PA0138-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063604	PA0138-C	WAF	91.19	True	Analysis_set	False
PA0140-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR055468	PA0140-C	WAF	86.44	True	Analysis_set	False
PA0141-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR211455	PA0141-C	WAF	90.21	True	Analysis_set	False
PA0143-C	1026-PF-GN-CONWAY	Nzerekore	Guinea	7.753857000000001	-8.818703	2011	ERR063601	PA0143-C	WAF	1.76	False	Less_than_50pc_callable	False
