BAM_ID	Tree_ID	ENA_sample_accession	Parent_Tree_ID	frac_genome_1_read_or_more	frac_genome_5_read_or_more	frac_genome_10_read_or_more
PG0150-C	W2_1i	ERS571551	W2_P	97.30	92.06	84.16
PG0152-C	W2_1k	ERS571553	W2_P	97.69	95.45	91.12
PG0194-C	W2_2a	ERS571600	W2_1g	97.72	96.85	96.25
PG0209-C	W2_3a	ERS571619	W2_2a	97.64	96.48	95.44
PG0210-C	W2_3b	ERS571621	W2_2a	97.58	96.44	95.12
PG0211-C	W2_3c	ERS571622	W2_2a	97.62	96.47	95.35
PG0212-C	W2_3d	ERS571624	W2_2a	97.58	96.37	95.10
PG0213-C	W2_3e	ERS571625	W2_2a	97.90	96.58	95.64
PG0237-C	W2_3f	ERS571656	W2_2a	98.52	96.09	93.51
PG0238-C	W2_3g	ERS571657	W2_2a	98.08	96.41	94.38
PG0239-C	W2_3h	ERS571658	W2_2a	98.01	96.51	94.67
PG0124-C	Dd2_P	ERS571522	NA	98.13	96.71	96.08
PG0127-C	Dd2_(A)1a	ERS571525	Dd2_P	98.33	96.95	96.48
PG0128-C	Dd2_(B)1b	ERS571526	Dd2_P	98.08	96.84	96.31
PG0129-C	Dd2_1c	ERS571527	Dd2_P	97.97	96.58	95.97
PG0130-C	Dd2_1d	ERS571528	Dd2_P	98.09	96.82	96.29
PG0131-C	Dd2_1e	ERS571529	Dd2_P	98.05	96.84	96.31
PG0153-C	Dd2_(A)2a	ERS571554	Dd2_(A)1a	96.94	91.45	83.02
PG0154-C	Dd2_(A)2b	ERS571555	Dd2_(A)1a	97.27	94.10	88.04
PG0155-C	Dd2_(A)2c	ERS571556	Dd2_(A)1a	97.27	94.58	89.41
PG0156-C	Dd2_(A)2d	ERS571557	Dd2_(A)1a	97.44	95.39	91.40
PG0157-C	Dd2_(A)2e	ERS571558	Dd2_(A)1a	97.39	95.11	90.69
PG0158-C	Dd2_(A)2f	ERS571559	Dd2_(A)1a	97.41	95.35	91.32
PG0159-C	Dd2_(A)2g	ERS571560	Dd2_(A)1a	97.09	92.80	85.54
PG0160-C	Dd2_(A)2h	ERS571561	Dd2_(A)1a	97.06	92.72	85.10
PG0162-C	Dd2_(A)2j	ERS571563	Dd2_(A)1a	97.52	96.32	94.26
PG0165-C	Dd2_(A)2m	ERS571566	Dd2_(A)1a	97.37	95.36	91.38
PG0166-C	Dd2_(B)2a	ERS571567	Dd2_(B)1b	97.45	96.32	94.35
PG0167-C	Dd2_(B)2b	ERS571568	Dd2_(B)1b	97.53	96.63	95.35
PG0168-C	Dd2_(B)2c	ERS571569	Dd2_(B)1b	97.60	96.88	95.91
PG0169-C	Dd2_(B)2d	ERS571570	Dd2_(B)1b	97.30	95.20	90.91
PG0170-C	Dd2_(B)2e	ERS571571	Dd2_(B)1b	97.52	96.40	94.39
PG0171-C	Dd2_(B)2f	ERS571572	Dd2_(B)1b	97.46	96.38	94.52
PG0172-C	Dd2_(B)2g	ERS571573	Dd2_(B)1b	97.25	94.26	88.26
PG0173-C	Dd2_(B)2h	ERS571574	Dd2_(B)1b	97.14	94.21	88.35
PG0174-C	Dd2_(B)2i	ERS571575	Dd2_(B)1b	97.21	93.88	87.49
PG0175-C	Dd2_(B)2j	ERS571576	Dd2_(B)1b	96.30	86.26	71.74
PG0176-C	Dd2_(B)2k	ERS571577	Dd2_(B)1b	97.36	95.73	92.45
PG0177-C	Dd2_(B)2l	ERS571578	Dd2_(B)1b	97.54	96.68	95.26
PG0178-C	Dd2_(B)2m	ERS571579	Dd2_(B)1b	97.01	92.17	82.95
PG0179-C	Dd2_(B)2n	ERS571580	Dd2_(B)1b	97.29	95.46	91.90
PG0180-C	Dd2_(B)2o	ERS571581	Dd2_(B)1b	97.23	94.38	88.60
PG0181-C	Dd2_(B)2p	ERS571582	Dd2_(B)1b	96.31	86.27	73.47
PG0183-C	Dd2_(B)2r	ERS571584	Dd2_(B)1b	97.43	96.25	94.12
PG0189-C	Dd2_(B)3a	ERS571591	Dd2_(B)2e	98.21	96.61	95.99
PG0190-C	Dd2_(B)3b	ERS571593	Dd2_(B)2e	97.36	96.40	95.70
PG0191-C	Dd2_(A)3a	ERS571595	Dd2_(A)2b	97.54	96.70	96.16
PG0192-C	Dd2_(A)3b	ERS571597	Dd2_(A)2b	97.46	96.52	95.84
PG0193-C	Dd2_(A)3c	ERS571598	Dd2_(A)2b	97.42	96.45	95.77
PG0203-C	Dd2_(B)4a	ERS571610	Dd2_(B)3a	98.27	96.90	96.47
PG0204-C	Dd2_(B)4b	ERS571611	Dd2_(B)3a	97.50	96.75	96.26
PG0205-C	Dd2_(B)4c	ERS571613	Dd2_(B)3a	97.46	96.79	96.34
PG0207-C	Dd2_(B)4d	ERS571616	Dd2_(B)3a	97.49	96.76	96.31
PG0208-C	Dd2_(B)4e	ERS571618	Dd2_(B)3a	97.30	96.05	94.75
PG0206-C	Dd2_(A)4a	ERS571614	Dd2_(A)3c	97.48	96.75	96.28
PG0219-C	Dd2_(A)4b	ERS571634	Dd2_(A)3c	97.83	96.90	96.52
PG0220-C	Dd2_(A)4b	ERS571635	Dd2_(A)3c	97.20	96.33	95.19
PG0221-C	Dd2_(A)4c	ERS571637	Dd2_(A)3c	97.23	96.46	95.50
PG0222-C	Dd2_(A)4d	ERS571639	Dd2_(A)3c	97.21	96.40	95.38
PG0223-C	Dd2_(A)4e	ERS571640	Dd2_(A)3c	97.14	96.20	94.67
PG0224-C	Dd2_(A)4f	ERS571641	Dd2_(A)3c	97.16	96.17	94.56
PG0225-C	Dd2_(A)4g	ERS571642	Dd2_(A)3c	97.27	96.60	95.96
PG0226-C	Dd2_(A)4h	ERS571643	Dd2_(A)3c	97.10	95.97	93.93
PG0227-C	Dd2_(A)4i	ERS571644	Dd2_(A)3c	97.22	96.46	95.58
PG0228-C	Dd2_(A)4j	ERS571645	Dd2_(A)3c	97.29	96.62	95.97
PG0229-C	Dd2_(A)4k	ERS571646	Dd2_(A)3c	97.12	96.06	94.29
PG0230-C	Dd2_(A)4l	ERS571648	Dd2_(A)3c	97.22	96.46	95.52
PG0231-C	Dd2_(A)4m	ERS571649	Dd2_(A)3c	97.25	96.56	95.86
PG0311-C	HB3b_P	ERS571858	NA	95.77	82.35	67.00
PG0195-C	HB3b_1a	ERS571601	HB3b_P	98.26	97.23	96.82
PG0196-C	HB3b_1b	ERS571603	HB3b_P	98.00	97.07	96.50
PG0198-C	HB3b_1c	ERS571605	HB3b_P	97.86	97.10	96.65
PG0199-C	HB3b_1d	ERS571606	HB3b_P	97.90	97.04	96.54
PG0200-C	HB3b_1e	ERS571607	HB3b_P	97.86	97.01	96.50
PG0201-C	HB3b_1f	ERS571608	HB3b_P	97.90	97.12	96.66
PG0202-C	HB3b_1g	ERS571609	HB3b_P	97.76	96.96	96.34
PG0240-C	HB3b_2a	ERS571659	HB3b_1e	98.51	95.97	93.17
PG0241-C	HB3b_2b	ERS571660	HB3b_1e	97.90	95.19	91.38
PG0242-C	HB3b_2c	ERS571661	HB3b_1e	98.04	95.92	93.00
PG0243-C	HB3b_2d	ERS571663	HB3b_1e	98.48	96.86	95.51
PG0248-C	HB3b_2e	ERS571795	HB3b_1e	97.69	94.60	90.50
PG0249-C	HB3b_2f	ERS571796	HB3b_1e	97.66	94.60	90.24
PG0250-C	HB3b_2g	ERS571797	HB3b_1e	97.57	93.87	88.81
PG0251-C	HB3b_2h	ERS571798	HB3b_1e	97.87	95.53	92.19
PG0272-C	HB3b_3a	ERS571819	HB3b_2f	96.09	85.20	72.20
PG0287-C	HB3b_3b	ERS571834	HB3b_2f	97.43	93.77	88.72
PG0288-C	HB3b_3c	ERS571835	HB3b_2f	97.32	93.00	87.16
PG0290-C	HB3b_3e	ERS571837	HB3b_2f	96.18	87.85	79.16
PG0292-C	HB3b_3g	ERS571839	HB3b_2f	98.00	96.93	96.25
PG0293-C	HB3b_3h	ERS571840	HB3b_2f	97.81	96.73	95.91
PG0261-C	HB3_P	ERS571808	NA	97.55	92.45	82.24
PG0270-C	HB3_1a	ERS571817	HB3_P	97.76	94.71	87.97
PG0273-C	HB3_1b	ERS571820	HB3_P	96.31	86.70	74.71
PG0275-C	HB3_1d	ERS571822	HB3_P	97.96	95.83	91.73
PG0276-C	HB3_1e	ERS571823	HB3_P	95.62	84.63	73.65
PG0277-C	HB3_1f	ERS571824	HB3_P	97.60	94.85	90.41
PG0278-C	HB3_1g	ERS571825	HB3_P	97.54	94.39	89.45
PG0279-C	HB3_1h	ERS571826	HB3_P	97.56	94.50	89.81
PG0301-C	HB3_2a	ERS571848	HB3_1a	97.88	96.82	96.03
PG0302-C	HB3_2b	ERS571849	HB3_1a	98.00	97.09	96.51
PG0332-C	HB3_2c	ERS571864	3D7_1o	97.62	94.98	90.67
PG0305-C	HB3_2d	ERS571852	HB3_1a	97.79	96.37	93.89
PG0308-C	HB3_2f	ERS571855	HB3_1a	97.66	95.54	91.83
PG0309-C	HB3_2g	ERS571856	HB3_1a	97.86	96.74	95.10
PG0310-C	HB3_2h	ERS571857	HB3_1a	97.61	95.17	90.81
PG0334-C	HB3_2i	ERS571865	3D7_1o	97.51	92.10	79.41
PG0336-C	HB3_3a	ERS571867	HB3_2f	96.47	84.70	61.91
PG0337-C	HB3_3b	ERS571868	HB3_2f	97.44	95.24	89.71
PG0338-C	HB3_3c	ERS571869	HB3_2f	97.81	96.83	95.63
PG0339-C	HB3_3d	ERS571870	HB3_2f	97.79	96.79	95.69
PG0340-C	HB3_3e	ERS571871	HB3_2f	97.89	96.99	96.17
PG0341-C	HB3_3f	ERS571872	HB3_2f	97.72	96.61	95.27
PG0342-C	HB3_3g	ERS571873	HB3_2f	97.64	96.28	93.78
PG0343-C	HB3_3h	ERS571874	HB3_2f	97.76	96.74	95.83
PG0344-C	HB3_3i	ERS571875	HB3_2f	97.75	96.70	95.69
PG0345-C	HB3_3j	ERS571876	HB3_2f	97.30	92.81	80.73
PG0346-C	HB3_3k	ERS571877	HB3_2f	97.87	96.88	95.79
PG0347-C	HB3_3l	ERS571878	HB3_2f	97.85	96.95	96.16
PG0348-C	HB3_3m	ERS571879	HB3_2f	97.52	96.06	93.62
PG0349-C	HB3_3n	ERS571880	HB3_2f	97.49	95.80	92.26
PG0350-C	HB3_3o	ERS571881	HB3_2f	97.90	97.09	96.46
PG0351-C	HB3_3p	ERS571882	HB3_2f	98.03	97.32	96.84
PG0352-C	HB3_3q	ERS571883	HB3_2f	97.81	96.87	96.14
PG0353-C	HB3_3r	ERS571884	HB3_2f	97.87	96.96	96.14
PG0354-C	HB3_3s	ERS571885	HB3_2f	97.79	96.78	95.53
PG0355-C	HB3_3t	ERS571886	HB3_2f	97.66	96.43	94.97
PG0356-C	HB3_3u	ERS571887	HB3_2f	97.78	96.75	95.92
PG0357-C	HB3_3v	ERS571888	HB3_2f	97.89	97.08	96.52
PG0358-C	HB3_4a	ERS571889	HB3_3k	98.01	97.28	96.77
PG0359-C	HB3_4b	ERS571890	HB3_3k	98.03	97.33	96.85
PG0360-C	HB3_4c	ERS571891	HB3_3k	97.92	97.17	96.64
PG0361-C	HB3_4d	ERS571892	HB3_3k	98.04	97.37	96.92
PG0362-C	HB3_4e	ERS571893	HB3_3k	97.74	96.66	95.53
PG0363-C	HB3_4f	ERS571894	HB3_3k	97.77	96.76	96.02
PG0364-C	HB3_4g	ERS571895	HB3_3k	98.07	97.42	96.98
PG0365-C	HB3_4h	ERS571896	HB3_3k	97.80	96.81	96.06
PG0366-C	HB3_4i	ERS571897	HB3_3k	97.71	96.62	95.58
PG0367-C	HB3_4j	ERS571898	HB3_3k	97.75	96.76	95.93
PG0368-C	HB3_4k	ERS571899	HB3_3k	97.81	96.85	96.01
PG0369-C	HB3_4l	ERS571900	HB3_3k	97.96	97.19	96.64
PG0370-C	HB3_4m	ERS571901	HB3_3k	97.90	97.06	96.42
PG0372-C	HB3_4n	ERS571902	HB3_3k	97.90	97.11	96.54
PG0373-C	HB3_4o	ERS571903	HB3_3k	97.99	97.07	96.44
PG0374-C	HB3_5a	ERS571904	HB3_4e	97.95	96.89	95.90
PG0375-C	HB3_5b	ERS571905	HB3_4e	97.54	94.66	88.21
PG0376-C	HB3_5c	ERS571906	HB3_4e	97.96	95.03	89.50
PG0377-C	HB3_5d	ERS571907	HB3_4e	97.93	96.89	95.68
PG0378-C	HB3_5e	ERS571908	HB3_4e	98.14	96.49	94.55
PG0379-C	HB3_5f	ERS571909	HB3_4e	97.76	96.43	94.21
PG0380-C	HB3_5g	ERS571910	HB3_4e	98.06	97.15	96.56
PG0381-C	HB3_5h	ERS571911	HB3_4e	98.19	97.40	96.94
WL0001-C	KH1-01_P	ERS571922	NA	NA	97.59	97.16
WL0002-C	KH2-01_P	ERS571923	NA	NA	97.76	97.36
WL0003-C	KH1-01_1a	ERS571924	KH1-01_P	NA	97.59	97.11
WL0004-C	KH1-01_1b	ERS571925	KH1-01_P	NA	97.14	96.01
WL0005-C	KH2-01_1a	ERS571926	KH2-01_P	NA	97.00	96.15
WL0006-C	KH2-01_1b	ERS571927	KH2-01_P	NA	97.01	96.29
WL0007-C	KH1-01_2a	ERS571952	KH1-01_1a	NA	96.74	93.65
WL0008-C	KH1-01_2b	ERS571953	KH1-01_1a	NA	96.84	93.98
WL0009-C	KH1-01_2c	ERS571954	KH1-01_1a	NA	93.04	82.39
WL0010-C	KH1-01_2d	ERS571955	KH1-01_1a	NA	96.61	93.12
WL0011-C	KH1-01_2e	ERS571956	KH1-01_1a	NA	95.87	90.48
WL0012-C	KH1-01_2f	ERS571957	KH1-01_1a	NA	96.73	93.88
WL0013-C	KH1-01_2g	ERS571958	KH1-01_1a	NA	96.60	93.20
WL0014-C	KH1-01_2h	ERS571959	KH1-01_1a	NA	96.69	93.46
WL0015-C	KH1-01_2i	ERS571960	KH1-01_1a	NA	96.48	92.98
WL0016-C	KH1-01_2j	ERS571961	KH1-01_1a	NA	96.60	92.92
WL0017-C	KH1-01_2k	ERS571962	KH1-01_1a	NA	95.83	90.19
WL0018-C	KH1-01_2l	ERS571963	KH1-01_1a	NA	97.19	95.49
WL0019-C	KH1-01_2m	ERS571964	KH1-01_1a	NA	97.15	95.12
WL0020-C	KH1-01_2n	ERS571965	KH1-01_1a	NA	96.27	91.79
WL0021-C	KH1-01_2o	ERS571966	KH1-01_1a	NA	95.82	90.30
WL0022-C	KH1-01_2p	ERS571967	KH1-01_1a	NA	96.48	92.65
WL0023-C	KH1-01_2q	ERS571968	KH1-01_1a	NA	96.05	91.24
WL0024-C	KH1-01_2r	ERS571969	KH1-01_1a	NA	96.58	93.11
WL0025-C	KH1-01_2s	ERS571970	KH1-01_1a	NA	96.63	93.08
WL0026-C	KH1-01_2t	ERS571971	KH1-01_1a	NA	96.88	94.34
WL0027-C	KH1-01_3a	ERS571972	KH1-01_2o	NA	95.63	89.51
WL0028-C	KH1-01_3b	ERS571973	KH1-01_2o	NA	95.64	89.65
WL0029-C	KH1-01_3c	ERS571974	KH1-01_2o	NA	94.45	86.37
WL0030-C	KH1-01_3d	ERS571975	KH1-01_2o	NA	95.04	87.90
WL0031-C	KH1-01_3e	ERS571976	KH1-01_2o	NA	95.66	89.87
WL0032-C	KH1-01_3f	ERS571977	KH1-01_2o	NA	95.90	90.80
WL0033-C	KH1-01_3g	ERS571978	KH1-01_2o	NA	93.00	82.30
WL0034-C	KH1-01_3h	ERS571979	KH1-01_2o	NA	96.11	91.11
WL0035-C	KH1-01_3i	ERS571980	KH1-01_2o	NA	93.57	84.21
WL0036-C	KH1-01_3j	ERS571981	KH1-01_2o	NA	95.64	89.61
WL0037-C	KH1-01_3k	ERS571982	KH1-01_2o	NA	93.68	84.34
WL0038-C	KH1-01_3l	ERS571983	KH1-01_2o	NA	94.67	86.72
WL0039-C	KH1-01_3m	ERS571984	KH1-01_2o	NA	93.10	82.68
WL0040-C	KH1-01_3n	ERS571985	KH1-01_2o	NA	94.48	86.20
WL0041-C	KH2-01_2a	ERS571986	KH2-01_1a	NA	94.75	87.09
WL0042-C	KH2-01_2b	ERS571987	KH2-01_1a	NA	94.83	87.52
WL0043-C	KH2-01_2c	ERS571988	KH2-01_1a	NA	94.79	87.41
WL0044-C	KH2-01_2d	ERS571989	KH2-01_1a	NA	96.15	91.49
WL0045-C	KH2-01_2e	ERS571990	KH2-01_1a	NA	93.68	84.58
WL0046-C	KH2-01_2f	ERS571991	KH2-01_1a	NA	94.77	87.48
WL0047-C	KH2-01_2g	ERS571992	KH2-01_1a	NA	94.74	87.23
WL0048-C	KH2-01_2h	ERS571993	KH2-01_1a	NA	93.85	85.27
WL0049-C	KH2-01_2i	ERS571994	KH2-01_1a	NA	94.05	85.67
WL0050-C	KH2-01_2j	ERS571995	KH2-01_1a	NA	94.20	85.63
WL0051-C	KH2-01_2k	ERS571996	KH2-01_1a	NA	93.24	83.70
WL0052-C	KH2-01_2l	ERS571997	KH2-01_1a	NA	93.51	84.47
WL0053-C	KH2-01_2m	ERS571998	KH2-01_1a	NA	94.18	85.33
WL0054-C	KH2-01_2n	ERS571999	KH2-01_1a	NA	92.71	82.44
WL0055-C	KH2-01_2o	ERS572000	KH2-01_1a	NA	93.72	84.87
WL0056-C	KH2-01_2p	ERS572001	KH2-01_1a	NA	94.53	86.87
WL0057-C	KH2-01_2q	ERS572002	KH2-01_1a	NA	95.88	90.36
WL0058-C	KH2-01_2r	ERS572003	KH2-01_1a	NA	96.32	92.13
WL0059-C	KH2-01_2s	ERS572004	KH2-01_1a	NA	94.34	86.09
WL0060-C	KH2-01_2t	ERS572005	KH2-01_1a	NA	96.03	91.05
WL0061-C	KH2-01_2u	ERS572006	KH2-01_1a	NA	93.38	84.04
WL0062-C	KH2-01_2v	ERS572007	KH2-01_1a	NA	96.01	91.02
WL0063-C	KH2-01_2w	ERS572008	KH2-01_1a	NA	96.45	92.49
WL0064-C	KH2-01_2x	ERS572009	KH2-01_1a	NA	95.18	88.38
WL0065-C	KH1-01_(B)2a	ERS572010	KH1-01_1b	NA	95.10	88.25
WL0066-C	KH1-01_(B)2b	ERS572011	KH1-01_1b	NA	95.49	89.20
WL0067-C	KH1-01_(B)2c	ERS572012	KH1-01_1b	NA	96.54	92.87
WL0068-C	KH1-01_(B)2d	ERS572013	KH1-01_1b	NA	96.27	91.82
WL0069-C	KH1-01_(B)2e	ERS572014	KH1-01_1b	NA	95.97	90.86
WL0070-C	KH1-01_(B)2f	ERS572015	KH1-01_1b	NA	96.63	93.33
WL0071-C	KH1-01_4a	ERS572163	KH1-01_3l	NA	93.85	88.33
WL0072-C	KH1-01_4b	ERS572164	KH1-01_3l	NA	90.10	82.47
WL0073-C	KH1-01_4c	ERS572165	KH1-01_3l	NA	90.17	82.26
WL0074-C	KH1-01_4d	ERS572166	KH1-01_3l	NA	90.08	82.58
WL0075-C	KH1-01_4e	ERS572167	KH1-01_3l	NA	92.14	85.56
WL0076-C	KH1-01_4f	ERS572168	KH1-01_3l	NA	87.63	78.64
WL0077-C	KH1-01_4g	ERS572169	KH1-01_3l	NA	91.20	83.53
WL0078-C	KH1-01_4h	ERS572170	KH1-01_3l	NA	91.19	83.63
WL0079-C	KH1-01_4i	ERS572171	KH1-01_3l	NA	90.61	82.89
WL0080-C	KH1-01_4j	ERS572172	KH1-01_3l	NA	86.96	77.76
WL0081-C	KH1-01_4k	ERS572173	KH1-01_3l	NA	87.92	78.69
WL0082-C	KH1-01_4l	ERS572174	KH1-01_3l	NA	89.09	80.64
WL0083-C	KH1-01_4m	ERS572175	KH1-01_3l	NA	89.19	81.00
WL0084-C	KH1-01_4n	ERS572176	KH1-01_3l	NA	90.40	81.89
WL0085-C	KH1-01_4o	ERS572177	KH1-01_3l	NA	88.03	79.87
WL0086-C	KH1-01_4p	ERS572178	KH1-01_3l	NA	86.52	77.82
WL0087-C	KH1-01_4q	ERS572179	KH1-01_3l	NA	88.43	80.18
